Runs,best_params_,category,drop_text__accept_sparse,drop_text__func,drop_text__inv_kw_args,drop_text__inverse_func,drop_text__kw_args,drop_text__pass_y,drop_text__validate,encode__default,encode__df_out,encode__features_category,encode__input_df,encode__sparse,folds,forest__bootstrap,forest__class_weight,forest__criterion,forest__max_depth,forest__max_features,forest__max_leaf_nodes,forest__min_impurity_decrease,forest__min_impurity_split,forest__min_samples_leaf,forest__min_samples_split,forest__min_weight_fraction_leaf,forest__n_estimators,forest__n_jobs,forest__oob_score,forest__random_state,forest__verbose,forest__warm_start,param_grid,score_accuracy_test_mean,score_accuracy_test_std,score_accuracy_train_mean,score_accuracy_train_std,score_f1_weighted_test_mean,score_f1_weighted_test_std,score_f1_weighted_train_mean,score_f1_weighted_train_std,score_precision_weighted_test_mean,score_precision_weighted_test_std,score_precision_weighted_train_mean,score_precision_weighted_train_std,score_recall_weighted_test_mean,score_recall_weighted_test_std,score_recall_weighted_train_mean,score_recall_weighted_train_std,step_1_est,step_1_name,step_2_est,step_2_name,step_3_est,step_3_name,step_4_est,step_4_name,time_fit_mean,time_fit_std,time_score_mean,time_score_std,gradient__criterion,gradient__init,gradient__learning_rate,gradient__loss,gradient__max_depth,gradient__max_features,gradient__max_leaf_nodes,gradient__min_impurity_decrease,gradient__min_impurity_split,gradient__min_samples_leaf,gradient__min_samples_split,gradient__min_weight_fraction_leaf,gradient__n_estimators,gradient__presort,gradient__random_state,gradient__subsample,gradient__verbose,gradient__warm_start
10,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 50, 'forest__warm_start': True}",SIMULATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,50.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4429133858267717,0.04918248835473347,0.963925394050426,0.009984453774140213,0.4390298337364957,0.04901097581123811,0.9637353158001424,0.010111591435244965,0.4566197707889185,0.049518308911441884,0.965283537011218,0.009313397715456452,0.4429133858267717,0.04918248835473347,0.963925394050426,0.009984453774140213,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,11.273610877990725,0.17957097300281166,2.019847345352173,0.26504731235388906,,,,,,,,,,,,,,,,,,
11,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': None, 'gradient__n_estimators': 10}",SIMULATION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4429133858267717,0.05132267658358055,0.9912453181106112,0.003670704831058741,0.4392020418209665,0.04954995717656216,0.9912479812995352,0.0036613149083511523,0.4536100675897213,0.04861518746329629,0.9914060355342558,0.003582525684216039,0.4429133858267717,0.05132267658358055,0.9912453181106112,0.003670704831058741,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,11.222171235084534,0.1896634575095721,2.006103038787842,0.2645815901065001,friedman_mse,None,0.1,deviance,3.0,None,None,0.0,None,1.0,2.0,0.0,10.0,auto,None,1.0,0.0,False
12,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': None, 'forest__n_estimators': 50, 'forest__warm_start': False}",LIFESTYLE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,3.0,None,None,0.0,None,1.0,2.0,0.0,50.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.433931484502447,0.05129356864289075,0.9650164293569642,0.0018805884467876235,0.4332605533347602,0.051950714701274034,0.965056351294346,0.0018694881242897685,0.4349995264278133,0.05209740587598273,0.9657255926030246,0.0018820413727729406,0.433931484502447,0.05129356864289075,0.9650164293569642,0.0018805884467876235,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,21.7187255859375,0.1925043891329536,4.122242379188537,0.17360199701521933,,,,,,,,,,,,,,,,,,
13,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': None, 'gradient__n_estimators': 10}",LIFESTYLE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4331158238172921,0.059621073213989774,0.9656509802043634,0.0016567933041557194,0.4329683229036192,0.05936851312178625,0.9656868181656432,0.0016570660691546462,0.4361031035217637,0.05946510537352885,0.9662544294684862,0.0017090256062212202,0.4331158238172921,0.059621073213989774,0.9656509802043634,0.0016567933041557194,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,21.722133851051325,0.1945762343192836,4.11276879310608,0.17569990256927834,friedman_mse,None,0.1,deviance,3.0,None,None,0.0,None,1.0,2.0,0.0,10.0,auto,None,1.0,0.0,False
14,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': 'sqrt', 'forest__n_estimators': 150, 'forest__warm_start': True}",TOOLS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,3.0,sqrt,None,0.0,None,1.0,2.0,0.0,150.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.3243865030674847,0.04537415963409437,0.8711978271578158,0.03585218294264494,0.31607632424524074,0.04840410047159137,0.8660915553055168,0.03922118483118302,0.33908907780051273,0.051574932131367886,0.8791176269009491,0.032248509110149995,0.3243865030674847,0.04537415963409437,0.8711978271578158,0.03585218294264494,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,27.431854844093323,0.32506894684749515,4.904374814033508,0.4276602498974948,,,,,,,,,,,,,,,,,,
15,"{'gradient__learning_rate': 0.001, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': None, 'gradient__n_estimators': 150}",TOOLS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.3159509202453988,0.052502013968539166,0.9984659067370506,0.0007431082994612693,0.3137805932010139,0.05302849698489676,0.998466184255664,0.0007427461298906543,0.31894361751036177,0.05726048289330785,0.9984716257057076,0.0007399455115656941,0.3159509202453988,0.052502013968539166,0.9984659067370506,0.0007431082994612693,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,27.97317600250244,0.2980748059993935,4.859549522399902,0.4331310366858679,friedman_mse,None,0.001,deviance,3.0,None,None,0.0,None,1.0,2.0,0.0,150.0,auto,None,1.0,0.0,False
16,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 10, 'forest__warm_start': True}",ENTERTAINMENT,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,10.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.44891640866873067,0.03382536868564024,0.8644615853810003,0.02939793106292932,0.4385556592071203,0.03769511356485791,0.8628055191892802,0.03100690331378802,0.4771796047184421,0.03454677942163762,0.8785793978201435,0.025136200532607303,0.44891640866873067,0.03382536868564024,0.8644615853810003,0.02939793106292932,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,18.57649419307709,0.21530956709430105,3.573670244216919,0.25159044503705463,,,,,,,,,,,,,,,,,,
17,"{'gradient__learning_rate': 0.01, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 100}",ENTERTAINMENT,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4481424148606811,0.038588226486824535,0.9398817588020392,0.010328325947554215,0.4409770263684122,0.04244343306462312,0.9399109544048679,0.010322196971094356,0.4570620967913129,0.04799868975639412,0.9404232579020366,0.01034807815228572,0.4481424148606811,0.038588226486824535,0.9398817588020392,0.010328325947554215,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,19.34337525367737,0.24226711677132914,3.57466208934784,0.2479675887210123,friedman_mse,None,0.01,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,100.0,auto,None,1.0,0.0,False
18,"{'forest__criterion': 'gini', 'forest__max_depth': 3, 'forest__max_features': None, 'forest__n_estimators': 5, 'forest__warm_start': False}",ACTION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,3.0,None,None,0.0,None,1.0,2.0,0.0,5.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.3373253493013972,0.04150304720669268,0.9957880858949968,0.0011884455855421447,0.3092756250864103,0.04487206289178109,0.995783455394002,0.0011905774257680414,0.3112250123447708,0.05531403037206647,0.9958218448708676,0.0011735499548544063,0.3373253493013972,0.04150304720669268,0.9957880858949968,0.0011884455855421447,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,8.978676795959473,0.1737132634716891,1.5884069204330444,0.2571895903288074,,,,,,,,,,,,,,,,,,
19,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 5}",ACTION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.3373253493013972,0.06227166359064356,0.9935550015291164,0.01051866644925845,0.3091782041485961,0.05184297534126668,0.9935041229598112,0.010654045825977116,0.30794045038628803,0.05871142021253095,0.9939224143378252,0.009497037866673308,0.3373253493013972,0.06227166359064356,0.9935550015291164,0.01051866644925845,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,8.997651100158691,0.17980503473123946,1.5829696178436283,0.2555874912259677,friedman_mse,None,0.1,deviance,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,5.0,auto,None,1.0,0.0,False
20,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 5, 'forest__warm_start': False}",EDUCATIONAL,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,5.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4375,0.08129543288281806,0.9281567579390576,0.03814659053535106,0.4243029488017493,0.0854186241508321,0.926510004527578,0.0398308320863939,0.44236372955029696,0.09688938249403893,0.930584658813436,0.03662422969071169,0.4375,0.08129543288281806,0.9281567579390576,0.03814659053535106,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,16.475567674636842,0.2849420259998318,2.9188038110733032,0.2961416405940613,,,,,,,,,,,,,,,,,,
21,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 5}",EDUCATIONAL,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4320652173913043,0.08263268728773474,0.9516962070569678,0.03789232436229623,0.4189825272821981,0.08555157554841611,0.9511000695271128,0.03830149555919436,0.42702766429142025,0.0923344609547371,0.9548171745222028,0.03626709327873364,0.4320652173913043,0.08263268728773474,0.9516962070569678,0.03789232436229623,TextFeatureTransformer,text_transform,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,16.507537531852723,0.2843412511387277,2.9165578603744517,0.2968344681165396,friedman_mse,None,0.1,deviance,3.0,sqrt,None,0.0,None,1.0,2.0,0.0,5.0,auto,None,1.0,0.0,False
