Runs,best_params_,category,drop_text__accept_sparse,drop_text__func,drop_text__inv_kw_args,drop_text__inverse_func,drop_text__kw_args,drop_text__pass_y,drop_text__validate,encode__default,encode__df_out,encode__features_category,encode__input_df,encode__sparse,folds,forest__bootstrap,forest__class_weight,forest__criterion,forest__max_depth,forest__max_features,forest__max_leaf_nodes,forest__min_impurity_decrease,forest__min_impurity_split,forest__min_samples_leaf,forest__min_samples_split,forest__min_weight_fraction_leaf,forest__n_estimators,forest__n_jobs,forest__oob_score,forest__random_state,forest__verbose,forest__warm_start,param_grid,score_accuracy_test_mean,score_accuracy_test_std,score_accuracy_train_mean,score_accuracy_train_std,score_f1_weighted_test_mean,score_f1_weighted_test_std,score_f1_weighted_train_mean,score_f1_weighted_train_std,score_precision_weighted_test_mean,score_precision_weighted_test_std,score_precision_weighted_train_mean,score_precision_weighted_train_std,score_recall_weighted_test_mean,score_recall_weighted_test_std,score_recall_weighted_train_mean,score_recall_weighted_train_std,step_1_est,step_1_name,step_2_est,step_2_name,step_3_est,step_3_name,time_fit_mean,time_fit_std,time_score_mean,time_score_std,gradient__criterion,gradient__init,gradient__learning_rate,gradient__loss,gradient__max_depth,gradient__max_features,gradient__max_leaf_nodes,gradient__min_impurity_decrease,gradient__min_impurity_split,gradient__min_samples_leaf,gradient__min_samples_split,gradient__min_weight_fraction_leaf,gradient__n_estimators,gradient__presort,gradient__random_state,gradient__subsample,gradient__verbose,gradient__warm_start
12,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 75, 'forest__warm_start': True}",LIFESTYLE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,75.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4176182707993475,0.040197098714268166,0.5879072655645421,0.0074860450225081926,0.4082959641550012,0.042117850983653816,0.5852962483994475,0.007999875209424134,0.42988561861691216,0.0428856356098514,0.6087623833939855,0.011189774977507607,0.4176182707993475,0.040197098714268166,0.5879072655645421,0.0074860450225081926,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.2056027889251709,0.0020634417579493227,0.027875852584838868,0.000323526260069466,,,,,,,,,,,,,,,,,,
13,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 150}",LIFESTYLE,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4257748776508972,0.031753986700773916,0.994018452495416,0.0015274559767146367,0.4222711808046737,0.03367533320814884,0.9940197184269136,0.0015265231225156221,0.4305244373777398,0.03197576348696304,0.994032325324237,0.0015200568130762785,0.4257748776508972,0.031753986700773916,0.994018452495416,0.0015274559767146367,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,1.56050500869751,0.01536723182291272,0.017358875274658202,0.0010677955630171094,friedman_mse,None,0.1,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,150.0,auto,None,1.0,0.0,False
14,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 10, 'forest__warm_start': False}",TOOLS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,10.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.34202453987730064,0.040881489529510616,0.5017122261772456,0.013731728957364443,0.32176877700403084,0.04818030123992608,0.4972990234906493,0.014389956262822653,0.3493184383629849,0.04664935847508662,0.5457782772880423,0.014441187573727057,0.34202453987730064,0.040881489529510616,0.5017122261772456,0.013731728957364443,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.036327123641967766,0.0005675688356211115,0.011608719825744629,0.0006914240758242688,,,,,,,,,,,,,,,,,,
15,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 3, 'gradient__max_features': 'sqrt', 'gradient__n_estimators': 75}",TOOLS,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.3427914110429448,0.0418452166982829,0.6409326130519141,0.007759173548057831,0.3289405721596608,0.04998800910086525,0.6395431220251611,0.007936067270180744,0.3455695851878012,0.046638438872975516,0.6733509713941057,0.007751042738061575,0.3427914110429448,0.0418452166982829,0.6409326130519141,0.007759173548057831,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.3138274669647217,0.0018884463419277608,0.011220479011535644,0.00031697302123279646,friedman_mse,None,0.1,deviance,3.0,sqrt,None,0.0,None,1.0,2.0,0.0,75.0,auto,None,1.0,0.0,False
16,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 100, 'forest__warm_start': False}",ENTERTAINMENT,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,100.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4458204334365325,0.030567539243958424,0.576799180569141,0.008868994440508425,0.4041920290891495,0.04237221741748689,0.5457183586885278,0.012243254460144978,0.5202725374710191,0.057310464152359984,0.6714858370172829,0.011712193488171098,0.4458204334365325,0.030567539243958424,0.576799180569141,0.008868994440508425,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.28454723358154305,0.0031951820653857844,0.035695123672485354,0.0019021112591755907,,,,,,,,,,,,,,,,,,
17,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 100}",ENTERTAINMENT,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.43034055727554177,0.030245594543203923,0.9993119015724048,0.0003440496805499178,0.4247114873570754,0.02990907753811952,0.9993118992698488,0.00034405103053942115,0.43219063102744,0.029576751766030723,0.9993141336704718,0.0003429342690636151,0.43034055727554177,0.030245594543203923,0.9993119015724048,0.0003440496805499178,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.9140655279159546,0.012498118131926616,0.013380908966064451,0.0001806662055360465,friedman_mse,None,1.0,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,100.0,auto,None,1.0,0.0,False
18,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': 'sqrt', 'forest__n_estimators': 5, 'forest__warm_start': True}",ACTION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,sqrt,None,0.0,None,1.0,2.0,0.0,5.0,1.0,False,None,0.0,True,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.37924151696606784,0.06917183982564677,0.5533529810185793,0.018967368663946608,0.32024305763536604,0.06086509597202399,0.5181628529407867,0.026920714059242026,0.3691889536074323,0.1088992341153194,0.5928746170238979,0.023354868326757497,0.37924151696606784,0.06917183982564677,0.5533529810185793,0.018967368663946608,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.009954452514648438,0.00021140074070589185,0.00915524959564209,0.00024594584945155696,,,,,,,,,,,,,,,,,,
19,"{'gradient__learning_rate': 0.1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 75}",ACTION,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4011976047904192,0.06539047583541667,1.0,0.0,0.3770910236927745,0.056439794542693135,1.0,0.0,0.3826685861809732,0.06230196386943554,1.0,0.0,0.4011976047904192,0.06539047583541667,1.0,0.0,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.49699523448944105,0.005518237056798015,0.009837055206298828,0.00016630543410331571,friedman_mse,None,0.1,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,75.0,auto,None,1.0,0.0,False
20,"{'forest__criterion': 'gini', 'forest__max_depth': 5, 'forest__max_features': None, 'forest__n_estimators': 100, 'forest__warm_start': False}",EDUCATIONAL,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,True,None,gini,5.0,None,None,0.0,None,1.0,2.0,0.0,100.0,1.0,False,None,0.0,False,"{'forest__criterion': ['gini'], 'forest__warm_start': [True, False], 'forest__n_estimators': [5, 10, 50, 75, 100, 150], 'forest__max_depth': [3, 5], 'forest__max_features': ['sqrt', None]}",0.4592391304347826,0.08269066626134909,0.6645475278823423,0.012045464016849285,0.44590373307934106,0.08516655624544607,0.6626218405925647,0.012252012498827654,0.4630228172134841,0.0776013120595985,0.6650526603303192,0.011549310402041121,0.4592391304347826,0.08269066626134909,0.6645475278823423,0.012045464016849285,FunctionTransformer,drop_text,DataFrameMapper,encode,RandomForestClassifier,forest,0.20657734870910646,0.0018274217965103309,0.03336646556854248,0.0013827322131477855,,,,,,,,,,,,,,,,,,
21,"{'gradient__learning_rate': 1, 'gradient__loss': 'deviance', 'gradient__max_depth': 5, 'gradient__max_features': None, 'gradient__n_estimators': 150}",EDUCATIONAL,False,<function drop_text at 0x7f18b2dafe18>,None,None,None,deprecated,False,None,False,"['FunctionTransformer', 'LabelEncoder']",False,False,10,,,,,,,,,,,,,,,,,,"{'gradient__loss': ['deviance'], 'gradient__learning_rate': [0.001, 0.01, 0.1, 1, 10], 'gradient__n_estimators': [5, 10, 50, 75, 100, 150], 'gradient__max_depth': [3, 5], 'gradient__max_features': ['sqrt', None]}",0.4605978260869565,0.050096731339314034,1.0,0.0,0.4535519744859568,0.05221976690099705,1.0,0.0,0.4639863134690669,0.05111129080578894,1.0,0.0,0.4605978260869565,0.050096731339314034,1.0,0.0,FunctionTransformer,drop_text,DataFrameMapper,encode,GradientBoostingClassifier,gradient,0.5572269439697266,0.0035558328362250953,0.011583137512207029,0.0005593204314545003,friedman_mse,None,1.0,deviance,5.0,None,None,0.0,None,1.0,2.0,0.0,150.0,auto,None,1.0,0.0,False
